country_code	name	1950-1955	1955-1960	1960-1965	1965-1970	1970-1975	1975-1980	1980-1985	1985-1990	1990-1995	1995-2000	2000-2005	2005-2010	2010-2015	2015-2020	last.observed
915	Caribbean	53.64180195	56.92982766	59.82405126	62.342808	64.50863545	66.3573898	67.46295734	68.86956924	69.92630726	71.27682265	72.24617945	73.35620816	74.19450356	75.11306587	2018
28	Antigua and Barbuda	58.8	61.37	64.33	66.54	67.86	69.35	71.05	72.65	73.79	74.83	75.86	76.76	77.42	77.91	2018
533	Aruba	61.6	65.6	68.3	70	72.6	74.3	75.2	75.8	76	76.2	76.39	77.09	77.76	78.44	2018
44	Bahamas	64.73	65.91	66.83	67.84	69.12	70.17	71	72.7	74.5	75.19	74.97	74.65	74.79	75.88	2018
52	Barbados	58.32	64.49	68.19	70.29	71.62	73.63	75.11	76.14	77.17	78.46	79.28	79.65	79.98	80.35	2018
192	Cuba	61.28	64.16	67.11	70.2	72.73	74.91	75.97	76.57	76.73	78.23	79.09	80.14	80.43	80.67	2018
531	Curacao	62.23	65.78	68.24	69.96	72.29	74.78	76.39	77.37	77.48	77.82	78.59	79.38	80.7	81.42	2018
214	Dominican Republic	47.36	51.24	54.84	58.12	61.26	63.75	65.81	68	70.25	71.73	73.22	74.64	75.86	77.12	2018
308	Grenada	59.92	62.61	65.03	66.78	68.13	69.55	70.6	71.31	72.86	74.7	75.57	75.68	75.19	74.95	2018
312	Guadeloupe	54.93	59.26	63.04	66.35	69.26	71.85	74.15	76.23	78.12	79.83	81.41	82.86	83.98	85.24	2018
332	Haiti	38.76	41.95	44.4	46.49	48.42	51.59	53.27	55.15	56.83	58.5	59.66	61.58	63.52	65.68	2018
388	Jamaica	61.1	65.31	66.95	68.72	70.21	71.37	72.36	73.24	74.82	75.53	75.38	75.58	75.54	75.94	2018
474	Martinique	56.89	60.09	63.04	65.82	68.88	71.65	74.16	76.44	78.52	80.42	82.18	83.21	84.36	85.38	2018
630	Puerto Rico	65.68	70.43	72.07	73.85	75.83	76.93	77.41	78.81	78.54	79.59	80.88	81.77	82.7	83.31	2018
662	Saint Lucia	52.22	56.5	60.64	64.17	66.56	69.25	70.91	72.17	73.28	74.25	75.25	76.02	76.6	77.37	2018
670	St. Vincent and the Grenadines	54.17	58.52	62.07	64.28	66.11	68.03	70.11	71.81	72.1	72.4	73.35	74.13	74.49	74.94	2018
780	Trinidad and Tobago	59.38	62.53	65.04	66.14	67.1	68.26	69.06	69.56	70.28	70.95	72.53	74.17	75.23	76.02	2018
850	United States Virgin Islands	64.47	67.07	68.4	69.85	71.37	72.71	73.93	75.38	76.84	78.27	79.54	80.34	82.2	82.9	2018
916	Central America	50.8332552	55.04568891	58.36564581	60.65609314	63.43858579	66.63176416	69.26299632	71.48235951	73.43251421	75.06789205	76.76401563	77.3021548	77.61626567	77.84155308	2018
84	Belize	57.3	60.01	62.66	65.41	68	70.41	72.29	73.6	73.12	71.46	72.49	73.6	75.96	77.58	2018
188	Costa Rica	57.29	60.2	63.82	66.89	69.82	73	76.25	77.87	78.67	79.46	80.18	80.83	81.69	82.66	2018
222	El Salvador	47.89	50.6	53.91	56.67	59.19	61.06	63.15	66.93	70.68	72.54	74.08	75.13	76.32	77.54	2018
320	Guatemala	43.2	45.99	48.78	51.96	55.26	57.9	60.57	63.63	66.71	69.77	72.1	73.7	75.6	76.8	2018
340	Honduras	43.12	46.29	49.79	52.97	56.16	59.86	63.79	67.71	70.06	72.3	73.65	75.01	76.31	77.28	2018
484	Mexico	52.54	57.26	60.58	62.49	65.15	68.55	71.16	72.98	74.62	76.07	77.74	77.99	77.91	77.83	2018
558	Nicaragua	43.76	46.75	49.93	53.24	56.54	59.6	62.49	65.69	68.88	71.16	73.54	74.87	76.38	77.66	2018
591	Panama	57.79	60.53	63.32	65.66	68.5	71.51	73.68	75.4	76.48	77.2	78.11	79.28	80.39	81.53	2018
931	South America	54.01862989	56.44777399	59.05415834	61.42917119	63.83914842	65.91711692	68.083039	70.12855525	72.04092418	73.87997712	75.48874624	76.92723127	78.11587264	79.05213022	2018
32	Argentina	65.14	67.44	68.62	69.33	70.78	72.22	73.74	74.62	75.62	76.54	77.41	78.24	79.04	79.8	2018
68	Bolivia (Plurinational State of)	41.07	42.39	43.95	45.79	47.91	50.33	53.05	56.05	59.29	62.71	66.02	68.99	71.91	74.05	2018
76	Brazil	52.57	54.71	57.52	60.29	62.61	64.49	66.53	68.74	70.9	73.08	74.86	76.63	78.04	79.27	2018
152	Chile	56.69	58.94	61.24	63.91	67.15	70.69	73.9	75.79	77.21	78.66	80.01	81.09	82.1	82.32	2018
170	Colombia	53.98	57.87	60.64	63.01	65.59	68.17	71	72.92	74.16	75.62	76.9	77.91	78.88	79.78	2018
218	Ecuador	49.86	52.81	55.72	58.28	61.2	64.01	66.9	69.93	72.54	74.68	76.54	77.59	78.48	79.56	2018
