country_code	name	2025	2030	2035	2040	2045	2050	2055	2060	2065	2070	2075	2080	2085	2090	2095	2100
132	Cabo Verde	589.6856	621.5896	651.2273	678.5826	703.1089	724.339	742.5006	757.2328	767.4115	774.5579	777.6496	779.2457	780.3353	780.5649	780.9152	780.4211
384	Cote d'Ivoire	30197.2177	34455.3558	39127.1711	44200.4246	49717.5196	55731.6835	62178.2217	69038.1191	76239.0871	83960.3845	92016.4061	100400.0128	109151.205	118198.3336	127415.261	137109.0469
270	Gambia	2807.5679	3243.4197	3722.5808	4240.547	4801.5926	5404.5351	6026.8885	6688.4802	7376.2021	8092.2283	8817.7567	9568.1488	10299.2326	11048.1403	11810.1544	12547.2125
288	Ghana	34774.3098	38683.3936	42851.7168	47174.3147	51734.4713	56449.473	61388.475	66459.935	71671.779	76889.9652	82295.4493	87832.3507	93457.6787	98907.9524	104495.6341	110163.9804
324	Guinea	15161.3318	17421.5792	19882.9348	22533.4256	25393.7476	28474.6384	31710.0923	35113.9059	38670.4269	42392.7639	46123.3845	50006.2306	53894.1681	57929.146	61959.4249	65993.2335
624	Guinea-Bissau	2233.583	2518.9111	2825.61	3156.2215	3513.9423	3891.9057	4281.5296	4685.9281	5106.4729	5534.5813	5967.5267	6401.9437	6858.1432	7283.6905	7728.6811	8178.5298
430	Liberia	5753.5172	6518.9458	7349.8602	8250.6951	9211.685	10231.908	11309.696	12437.3592	13636.2238	14863.6074	16139.7293	17438.2177	18773.0046	20072.1236	21454.4459	22843.0185
466	Mali	23640.6182	27565.6975	32039.5013	37050.3709	42504.4102	48481.3607	55028.2709	62110.3322	69742.5684	77661.841	85975.2221	94425.4322	103438.2153	112782.2316	122042.1644	131242.5976
478	Mauritania	5341.7461	6090.6577	6903.6198	7785.5828	8735.9785	9753.9513	10839.1446	11995.6543	13228.0072	14535.4006	15905.9108	17321.6716	18808.7395	20385.1719	21960.023	23592.9234
562	Niger	29349.1667	35485.1941	42726.5084	51129.6358	60801.7059	71766.2969	84066.8379	97862.067	112915.3986	129673.5802	147737.4184	166792.4102	187226.2126	208908.8679	232015.9655	256010.3627
566	Nigeria	235505.8494	268526.3924	305398.564	346547.5801	391612.347	441221.4942	494136.0508	551207.0744	613351.6097	680693.1127	749826.1126	821779.4487	899979.6725	978525.3807	1061694.683	1148583.1715
686	Senegal	19250.5586	22004.2336	25035.1553	28365.2557	31955.0686	35809.2374	39864.5369	44207.0427	48779.9203	53622.085	58644.3388	63878.6758	69094.9889	74590.6442	80350.2025	86160.9055
694	Sierra Leone	8911.2462	9908.5117	10960.5928	12059.307	13189.759	14338.2869	15514.2927	16686.6188	17860.0145	19006.3656	20129.0116	21197.8554	22238.8965	23241.1589	24190.7501	25046.7081
